Model,MSE,MAE,R2
LinearRegression,0.2561124699226987,0.3862752392265896,0.4327680748362943
DecisionTree,0.19509043512596255,0.327935458070892,0.5679182543086432
CatBoost,0.07950630559911392,0.18641178668814826,0.8239112886566937
XGBoost,0.051608711985684126,0.13540710997928487,0.8856982283459509
MLP,0.08191374465626652,0.1721911821847991,0.8185793487807669
